dry_gas,mail_gas,dev_gas,total_gas,dry_temp_rise,mail_temp_rise,dev_temp_rise,total_temp_rise,dry_efficiency,mail_efficiency,dev_efficiency,total_efficiency,batch_id,deviation,start_gas,date,avg_temp,avg_humidity
12800.0,37630.0,4525.0,54955.0,-121.6,91.1,29.0,-1.5000000000000142,-0.9500000000000002,0.2420940738772256,0.6408839779005524,-0.0027295059594213,export-roasts_PR-4464.xls,939.3,100,2024-06-24,18.4,78.0
11980.0,32790.0,4345.0,49115.0,-127.5,88.9,28.90000000000001,-9.699999999999974,-1.0642737896494157,0.2711192436718512,0.6651323360184122,-0.0197495673419525,export-roasts_PR-4468.xls,1246.8000000000002,50,2024-06-24,18.4,78.0
12800.0,34400.0,3715.0,50915.0,-121.7,89.30000000000001,28.5,-3.899999999999992,-0.95078125,0.259593023255814,0.7671601615074024,-0.0076598251988608,export-roasts_PR-4469.xls,1949.05,100,2024-06-24,18.4,78.0
12500.0,34000.0,2645.0,49145.0,-123.5,91.5,26.0,-5.999999999999986,-0.9879999999999998,0.2691176470588236,0.9829867674858224,-0.0122087699664258,export-roasts_PR-4470.xls,2312.05,50,2024-06-24,18.4,78.0
12800.0,34210.0,2995.0,50005.0,-124.4,91.70000000000002,27.099999999999994,-5.59999999999998,-0.971875,0.2680502776965799,0.9048414023372284,-0.0111988801119887,export-roasts_PR-4471.xls,2083.6,50,2024-06-24,18.4,78.0
12800.0,37450.0,2815.0,53065.0,-127.20000000000002,92.9,26.69999999999999,-7.600000000000037,-0.99375,0.248064085447263,0.948490230905861,-0.0143220578535758,export-roasts_PR-4472.xls,2047.9999999999995,50,2024-06-24,18.4,78.0
12800.0,37230.0,2905.0,52935.0,-124.3,91.3,26.90000000000001,-6.099999999999994,-0.97109375,0.2452323395111469,0.925989672977625,-0.01152356663833,export-roasts_PR-4473.xls,2232.0999999999995,100,2024-06-24,18.4,78.0
12800.0,37930.0,7185.0,57915.0,-119.0,87.19999999999999,35.599999999999994,3.799999999999983,-0.9296875,0.229897179013973,0.4954766875434933,0.0065613398946731,export-roasts_PR-4489.xls,2647.2,100,2024-07-06,15.9,81.0
12800.0,37710.0,5515.0,56025.0,-123.29999999999998,89.2,30.90000000000001,-3.1999999999999744,-0.96328125,0.2365420312914346,0.560290117860381,-0.0057117358322177,export-roasts_PR-4515.xls,1514.8000000000002,100,2024-07-13,14.5,87.0
12800.0,37650.0,4885.0,55335.0,-125.5,89.69999999999999,30.19999999999999,-5.600000000000023,-0.98046875,0.2382470119521912,0.6182190378710335,-0.0101201771030993,export-roasts_PR-4542.xls,874.5999999999998,100,2024-07-15,18.2,77.0
12800.0,37040.0,2305.0,52145.0,-119.1,92.5,26.90000000000001,0.2999999999999971,-0.9304687499999998,0.2497300215982721,1.1670281995661609,0.0005753188225141,export-roasts_PR-4579.xls,2711.7499999999995,50,2024-07-29,19.0,76.0
12800.0,37510.0,3285.0,53595.0,-122.9,92.1,28.90000000000001,-1.9000000000000057,-0.96015625,0.2455345241268994,0.879756468797565,-0.003545106819666,export-roasts_PR-4580.xls,1566.7999999999995,50,2024-07-29,19.0,76.0
12800.0,37510.0,3535.0,53845.0,-116.6,91.9,29.5,4.800000000000011,-0.9109375,0.2450013329778725,0.8345120226308345,0.0089144767387872,export-roasts_PR-4581.xls,1600.8500000000004,50,2024-07-29,19.0,76.0
12800.0,37650.0,4975.0,55425.0,-121.5,88.69999999999999,31.5,-1.3000000000000114,-0.94921875,0.2355909694555112,0.6331658291457287,-0.0023455119530897,export-roasts_PR-4589.xls,1402.849999999998,100,2024-08-03,19.9,84.0
12800.0,37660.0,5065.0,55525.0,-123.3,88.4,31.80000000000001,-3.0999999999999943,-0.96328125,0.2347318109399893,0.6278381046396844,-0.0055830706888788,export-roasts_PR-4593.xls,1237.2999999999993,100,2024-08-03,19.9,84.0
12800.0,37570.0,3985.0,54355.0,-126.1,91.0,29.299999999999983,-5.800000000000026,-0.98515625,0.2422145328719723,0.7352572145545793,-0.0106705914819244,export-roasts_PR-4606.xls,955.65,100,2024-08-05,18.2,78.0
12800.0,37490.0,3175.0,53465.0,-124.6,92.6,28.200000000000017,-3.799999999999983,-0.9734375,0.2469991997866097,0.8881889763779534,-0.0071074534742354,export-roasts_PR-4607.xls,1886.6999999999996,50,2024-08-05,18.2,78.0
12800.0,35060.0,3535.0,51395.0,-126.0,91.3,28.69999999999999,-6.000000000000014,-0.984375,0.2604107244723331,0.8118811881188116,-0.011674287382041,export-roasts_PR-4608.xls,1815.2,50,2024-08-05,18.2,78.0
12800.0,36950.0,2995.0,52745.0,-125.3,92.6,27.399999999999977,-5.30000000000004,-0.97890625,0.2506089309878214,0.914858096828046,-0.0100483458147692,export-roasts_PR-4609.xls,1864.3,50,2024-08-05,18.2,78.0
11540.0,36400.0,4795.0,52735.0,-119.9,88.0,31.40000000000001,-0.4999999999999858,-1.0389948006932408,0.2417582417582417,0.6548488008342024,-0.0009481369109699,export-roasts_PR-4631.xls,1289.3000000000018,100,2024-08-12,22.7,73.0
12820.0,37500.0,3355.0,53675.0,-121.4,91.4,28.600000000000023,-1.399999999999963,-0.9469578783151326,0.2437333333333333,0.8524590163934432,-0.0026082906380996,export-roasts_PR-4634.xls,1541.7,20,2024-08-12,22.7,73.0
12800.0,37550.0,3805.0,54155.0,-124.9,91.2,29.80000000000001,-3.899999999999992,-0.97578125,0.2428761651131824,0.7831800262812093,-0.0072015511033145,export-roasts_PR-4635.xls,1412.1500000000003,20,2024-08-12,22.7,73.0
12800.0,36540.0,3355.0,52695.0,-123.0,91.5,28.69999999999999,-2.799999999999997,-0.9609374999999998,0.2504105090311987,0.8554396423248879,-0.0053135971154758,export-roasts_PR-4659.xls,1770.2000000000005,20,2024-08-19,17.8,74.0
12800.0,35460.0,4255.0,52515.0,-123.4,89.39999999999999,29.69999999999999,-4.300000000000026,-0.9640625,0.2521150592216582,0.698002350176263,-0.0081881367228411,export-roasts_PR-4660.xls,1369.3,20,2024-08-19,17.8,74.0
