date,avg_temp,avg_humidity
2024-01-01,7.3,82
2024-01-02,9.7,90
2024-01-03,8.8,86
2024-01-04,6.8,91
2024-01-05,6.5,93
2024-01-06,3.8,86
2024-01-07,0.5,78
2024-01-08,-1.0,73
2024-01-09,-3.0,68
2024-01-10,-2.9,66
2024-01-11,-1.4,87
2024-01-12,1.9,95
2024-01-13,3.9,90
2024-01-14,3.1,87
2024-01-15,2.3,73
2024-01-16,1.1,73
2024-01-17,-1.1,80
2024-01-18,-1.6,78
2024-01-19,1.7,76
2024-01-20,1.3,78
2024-01-21,3.4,70
2024-01-22,8.9,81
2024-01-23,7.5,80
2024-01-24,9.8,77
2024-01-25,6.7,89
2024-01-26,8.3,83
2024-01-27,4.4,89
2024-01-28,3.9,79
2024-01-29,6.4,88
2024-01-30,8.0,88
2024-01-31,6.1,82
2024-02-01,6.7,86
2024-02-02,7.9,87
2024-02-03,9.7,88
2024-02-04,9.5,89
2024-02-05,9.2,83
2024-02-06,9.9,84
2024-02-07,5.1,82
2024-02-08,1.7,96
2024-02-09,9.4,89
2024-02-10,9.5,90
2024-02-11,8.3,93
2024-02-12,6.1,90
2024-02-13,6.1,86
2024-02-14,10.1,93
2024-02-15,12.5,88
2024-02-16,10.6,88
2024-02-17,8.9,91
2024-02-18,9.4,90
2024-02-19,8.2,91
2024-02-20,8.1,90
2024-02-21,9.2,88
2024-02-22,10.1,91
2024-02-23,5.5,79
2024-02-24,4.1,89
2024-02-25,5.5,86
2024-02-26,5.0,85
2024-02-27,4.2,82
2024-02-28,6.6,87
2024-02-29,8.1,90
2024-03-01,7.6,84
2024-03-02,8.3,75
2024-03-03,9.8,79
2024-03-04,6.9,84
2024-03-05,5.3,95
2024-03-06,6.4,90
2024-03-07,5.4,83
2024-03-08,5.0,72
2024-03-09,7.4,73
2024-03-10,8.5,75
2024-03-11,7.3,89
2024-03-12,8.4,85
2024-03-13,10.5,88
2024-03-14,12.2,77
2024-03-15,12.0,83
2024-03-16,8.0,79
2024-03-17,8.6,83
2024-03-18,10.5,87
2024-03-19,10.4,84
2024-03-20,10.2,87
2024-03-21,8.7,88
2024-03-22,9.4,88
2024-03-23,6.3,78
2024-03-24,6.6,80
2024-03-25,7.2,74
2024-03-26,8.6,69
2024-03-27,10.0,75
2024-03-28,7.9,74
2024-03-29,10.4,68
2024-03-30,8.9,91
2024-03-31,9.2,89
2024-04-01,9.3,87
2024-04-02,9.3,83
2024-04-03,10.5,88
2024-04-04,11.0,85
2024-04-05,12.9,82
2024-04-06,16.9,72
2024-04-07,15.1,69
2024-04-08,13.8,83
2024-04-09,11.6,77
2024-04-10,10.5,69
2024-04-11,12.9,82
2024-04-12,14.0,81
2024-04-13,15.1,75
2024-04-14,10.7,71
2024-04-15,8.2,79
2024-04-16,7.7,81
2024-04-17,6.1,79
2024-04-18,6.8,78
2024-04-19,8.3,82
2024-04-20,6.9,76
2024-04-21,6.3,72
2024-04-22,5.3,70
2024-04-23,5.1,74
2024-04-24,6.4,76
2024-04-25,5.8,79
2024-04-26,7.2,76
2024-04-27,9.7,84
2024-04-28,12.4,75
2024-04-29,11.5,78
2024-04-30,15.2,77
2024-05-01,18.1,79
2024-05-02,17.2,77
2024-05-03,11.8,90
2024-05-04,11.4,83
2024-05-05,12.3,81
2024-05-06,13.6,78
2024-05-07,13.3,77
2024-05-08,12.3,80
2024-05-09,11.5,85
2024-05-10,13.7,83
2024-05-11,15.1,80
2024-05-12,18.1,68
2024-05-13,18.8,76
2024-05-14,19.7,75
2024-05-15,15.8,89
2024-05-16,15.5,87
2024-05-17,15.1,89
2024-05-18,17.2,78
2024-05-19,16.3,76
2024-05-20,15.4,87
2024-05-21,17.3,86
2024-05-22,15.8,83
2024-05-23,15.0,81
2024-05-24,14.7,88
2024-05-25,15.1,87
2024-05-26,15.2,84
2024-05-27,14.0,78
2024-05-28,13.9,82
2024-05-29,14.8,85
2024-05-30,13.6,86
2024-05-31,15.1,83
2024-06-01,15.4,88
2024-06-02,13.9,75
2024-06-03,13.4,81
2024-06-04,15.3,85
2024-06-05,12.7,71
2024-06-06,12.5,74
2024-06-07,13.0,76
2024-06-08,13.3,82
2024-06-09,12.3,76
2024-06-10,11.2,88
2024-06-11,11.7,75
2024-06-12,11.1,78
2024-06-13,13.1,74
2024-06-14,14.7,79
2024-06-15,13.8,82
2024-06-16,14.1,82
2024-06-17,15.1,77
2024-06-18,15.2,83
2024-06-19,14.9,81
2024-06-20,14.5,84
2024-06-21,15.5,88
2024-06-22,15.9,83
2024-06-23,17.4,81
2024-06-24,18.4,78
2024-06-25,21.0,76
2024-06-26,22.9,74
2024-06-27,21.3,76
2024-06-28,16.7,75
2024-06-29,17.7,75
2024-06-30,16.9,80
2024-07-01,15.0,78
2024-07-02,14.7,80
2024-07-03,13.2,81
2024-07-04,15.2,71
2024-07-05,15.6,78
2024-07-06,15.9,81
2024-07-07,13.6,85
2024-07-08,15.5,81
2024-07-09,19.8,78
2024-07-10,18.1,83
2024-07-11,16.6,81
2024-07-12,14.5,86
2024-07-13,14.5,87
2024-07-14,15.8,79
2024-07-15,18.2,77
2024-07-16,17.7,83
2024-07-17,17.1,82
2024-07-18,18.4,81
2024-07-19,22.3,73
2024-07-20,22.9,71
2024-07-21,19.5,87
2024-07-22,17.9,81
2024-07-23,18.6,84
2024-07-24,17.1,76
2024-07-25,18.0,82
2024-07-26,18.3,84
2024-07-27,17.3,82
2024-07-28,17.9,78
2024-07-29,19.0,76
2024-07-30,21.9,73
2024-07-31,20.7,73
2024-08-01,19.4,81
2024-08-02,19.1,78
2024-08-03,19.9,84
2024-08-04,17.2,75
2024-08-05,18.2,78
2024-08-06,20.6,76
2024-08-07,19.1,76
2024-08-08,19.6,71
2024-08-09,19.8,83
2024-08-10,18.8,81
2024-08-11,20.6,79
2024-08-12,22.7,73
2024-08-13,23.0,81
2024-08-14,20.2,87
2024-08-15,20.0,82
2024-08-16,20.1,83
2024-08-17,18.2,76
2024-08-18,17.5,79
2024-08-19,17.8,74
2024-08-20,18.3,82
2024-08-21,16.4,67
2024-08-22,18.1,70
2024-08-23,19.5,71
2024-08-24,18.4,82
2024-08-25,16.4,70
2024-08-26,16.8,77
2024-08-27,17.7,78
2024-08-28,19.9,79
2024-08-29,19.2,84
2024-08-30,16.8,81
2024-08-31,17.9,75
2024-09-01,21.1,75
2024-09-02,22.0,81
2024-09-03,19.4,90
2024-09-04,18.0,89
2024-09-05,21.1,80
2024-09-06,21.9,68
2024-09-07,20.1,85
2024-09-08,19.2,76
2024-09-09,16.3,82
2024-09-10,15.4,78
2024-09-11,11.3,83
2024-09-12,10.2,84
2024-09-13,11.5,78
2024-09-14,12.2,74
2024-09-15,13.4,82
2024-09-16,14.9,85
2024-09-17,15.5,84
2024-09-18,16.7,87
2024-09-19,17.3,87
2024-09-20,17.5,79
2024-09-21,17.2,82
2024-09-22,17.5,82
2024-09-23,16.8,86
2024-09-24,14.5,87
2024-09-25,13.9,86
2024-09-26,15.1,88
2024-09-27,12.3,83
2024-09-28,10.8,75
2024-09-29,10.1,78
2024-09-30,11.3,83
2024-10-01,13.4,91
2024-10-02,12.0,84
2024-10-03,10.3,80
2024-10-04,8.9,86
2024-10-05,8.9,84
2024-10-06,10.3,83
2024-10-07,14.4,84
2024-10-08,14.9,86
2024-10-09,13.4,90
2024-10-10,11.8,82
2024-10-11,8.9,75
2024-10-12,8.6,89
2024-10-13,10.6,70
2024-10-14,8.0,89
2024-10-15,9.1,86
2024-10-16,15.2,83
2024-10-17,15.9,88
2024-10-18,14.9,96
2024-10-19,14.3,91
2024-10-20,15.2,86
2024-10-21,14.3,86
2024-10-22,12.3,86
2024-10-23,11.1,94
2024-10-24,10.1,92
2024-10-25,13.1,93
2024-10-26,13.3,94
2024-10-27,13.1,88
2024-10-28,12.4,91
2024-10-29,14.0,93
2024-10-30,12.7,92
2024-10-31,11.2,92
2024-11-01,12.0,89
2024-11-02,10.9,82
2024-11-03,6.7,93
2024-11-04,6.9,95
2024-11-05,6.3,93
2024-11-06,9.0,94
2024-11-07,7.2,94
2024-11-08,4.7,88
2024-11-09,5.9,91
2024-11-10,8.2,94
2024-11-11,9.9,84
2024-11-12,8.6,87
